ID,CICLO,CODIGO,NOMBRE DE LA ASIGNATURA,PRE REQUISITO,CREDITOS APROBADOS,MODALIDAD,CREDITOS
50,OCTAVO CICLO,C8453,ASIGNATURA ELECTIVA 3,NINGUNO,0,PRESENCIAL,3
51,NOVENO CICLO,C8290,DISENO DE NEGOCIOS EN INGENIERIA,PROYECTOS DE INGENIERIA 2,0,NO PRESENCIAL,2
52,NOVENO CICLO,C0772,ETICA,FILOSOFIA,150,NO PRESENCIAL,2
53,NOVENO CICLO,C8269,TESIS 1,NINGUNO,150,PRESENCIAL,5
54,NOVENO CICLO,C8428,INGLES 4,NINGUNO,0,PRESENCIAL,2
55,NOVENO CICLO,C8291,DESARROLLO DE SISTEMAS MOVILES,INGENIERIA DE SOFTWARE,0,PRESENCIAL,4
56,NOVENO CICLO,C8458,ASIGNATURA ELECTIVA IV,NINGUNO,0,PRESENCIAL,3
57,NOVENO CICLO,C8432,ACTIVIDAD COMPLEMENTARIA III,NINGUNO,0,PRESENCIAL,1
58,DECIMO CICLO,C8272,NORMAS Y REGULACIONES EN INGENIERIA,DISENO DE NEGOCIOS EN INGENIERIA,0,NO PRESENCIAL,2
59,DECIMO CICLO,C8271,TESIS 2,TESIS 1,0,PRESENCIAL,5
60,DECIMO CICLO,C8292,TEMAS AVANZADOS DE SEGURIDAD INFORMATICA,CRIPTOGRAFIA Y SEGURIDAD INFORMATICA,0,PRESENCIAL,4
61,DECIMO CICLO,C8293,DERECHO INFORMATICO,NINGUNO ,150,NO PRESENCIAL,2
62,DECIMO CICLO,C8467,ASIGNATURA ELECTIVA 5,NINGUNO ,0,PRESENCIAL,3
63,DECIMO CICLO,C8466,ASIGNATURA ELECTIVA 6,NINGUNO,0,PRESENCIAL,3
64,DECIMO CICLO,C8433,ACTIVIDAD COMPLEMENTARIA 4,NINGUNO,0,PRESENCIAL,1
